cluster_id,theme_name
0,Hai Bhi Aur
1,Aap Shopping Good
2,Experience Good Research
3,App Clothes Fashion
4,Account Deactivated Login
5,App Genuine Trusted
6,Skin Lipstick Hair
7,Collection Collections Nice
8,Size Shoes Uk
9,Shirt Tshirt Fabric
10,Https Myntr Polo
11,App Delivery Fast
12,Clothes Quality Clothing
13,Fashion Clothes Clothing
14,App Best Apps
15,App Good Quality
16,Platform Shopping Best
17,Dress Quality Fit
18,Comfortable Good Comfy
19,Fabric Good Cloth
20,Myntra Experience Love
21,App Shopping Easy
22,App Shopping Good
23,Shopping Experience Shoping
24,Shopping Site Place
25,App Online Best
26,App Shopping Best
27,Genuine Products Original
28,Delivery Fast Good
29,Service Good Product
30,Myntra Clothes Quality
31,Good Best Excellent
32,App Myntra Love
33,Myntra App Shopping
34,App Myntra Shopping
35,Myntra Shopping App
36,Myntra Shopping Experience
37,Myntra Products Quality
38,Myntra Quality Products
39,Branded Brand Products
40,Quality Good Best
41,Discount Offers Ampoule
42,Price Affordable Quality
43,Quality Product Products
44,Product Quality Good
45,Good Product Products
46,Product Nice Good
47,App Worst Delivery
48,App Myntra Worst
49,Delivery Order Delayed
50,Customer Service Worst
51,Refund Bank Myntra
52,Myntra Fraud Customer
53,Myntra Delivery Customer
