Timestamp,"How often do you shop on fashion apps like Myntra, Ajio, or similar?","Do you use the ""Wishlist"" or ""Save for later"" feature on shopping apps?","On average, how many items are currently sitting in your wishlist?",Roughly what % of items you wishlist do you actually end up buying?,"When you wishlist something but don't buy it within 30 days, what's the MAIN reason?",Have you ever NOT bought a wishlisted item specifically because you were unsure about the size/fit?,"When unsure about fit, what do you currently do?",How often have you returned a wishlisted item after buying it because the size was wrong?,"Would knowing ""based on your past orders, size M will likely fit you in this brand"" make you more likely to buy from your wishlist?",What would make you clear out your wishlist faster?,What is your age group?,Which best describes where you live?,"Would you be open to a quick 5-10 minute chat to share more about your shopping habits? (Totally optional, and helps my research a lot!)","If yes, please share your name and contact detail (phone/email) so I can reach out to schedule a time."
9/1/2026 11:44:00,Rarely (once a month or less),"Yes, regularly",6 to 15,30 to 60%,Changed my mind / lost interest,Never,Check the brand's size chart,Sometimes,Definitely yes,Better price visibility or alerts,25-34,Tier 2 city,"No, thanks",
9/1/2026 11:49:06,2-3 times a month,"Yes, regularly",1 to 5,10 to 30%,Changed my mind / lost interest,"Yes, often","Check the brand's size chart, Order multiple sizes and return the rest",Sometimes,Not sure,Nothing - I like keeping things saved,25-34,"Metro (Delhi, Mumbai, Bangalore, etc.)","Yes, happy to chat",Abhilash
9/1/2026 11:50:48,2-3 times a month,"Yes, regularly",More than 30,10 to 30%,Looking for better option than this,"Yes, sometimes",Check the brand's size chart,Never bought and returned for this reason,Probably yes,More confidence about fit/size,25-34,"Metro (Delhi, Mumbai, Bangalore, etc.)","No, thanks",
9/1/2026 11:51:26,2-3 times a month,Occasionally,1 to 5,10 to 30%,Changed my mind / lost interest,"Yes, sometimes",Read reviews for fit feedback,Never bought and returned for this reason,Probably yes,Nothing - I like keeping things saved,25-34,"Metro (Delhi, Mumbai, Bangalore, etc.)","No, thanks",
9/1/2026 11:59:43,Rarely (once a month or less),Rarely,1 to 5,10 to 30%,Gets out of stock,Never,"Check the brand's size chart, Read reviews for fit feedback",Rarely,Not sure,Better price visibility or alerts,25-34,"Metro (Delhi, Mumbai, Bangalore, etc.)","No, thanks",
9/1/2026 12:03:00,Rarely (once a month or less),Rarely,1 to 5,Less than 10%,Not sure I need it right now,"Yes, sometimes",Don't buy at all,Rarely,Probably yes,Easier comparison between similar items,35-44,Tier 2 city,"No, thanks",
9/1/2026 12:06:45,2-3 times a month,Occasionally,16 to 30,10 to 30%,Not sure I need it right now,Never,Check the brand's size chart,Sometimes,Probably yes,Easier comparison between similar items,35-44,Tier 2 city,"Yes, happy to chat",Dr harshal ganar  9890853253
9/1/2026 12:11:53,2-3 times a month,"Yes, regularly",More than 30,Less than 10%,Changed my mind / lost interest,"Yes, often","Check the brand's size chart, Read reviews for fit feedback, Order multiple sizes and return the rest, Just guess and hope, Don't buy at all",Frequently,Probably yes,Nothing - I like keeping things saved,18-24,"Metro (Delhi, Mumbai, Bangalore, etc.)","Yes, happy to chat",Namrita 8955914744
9/1/2026 12:16:43,Rarely (once a month or less),"Yes, regularly",More than 30,Less than 10%,Changed my mind / lost interest,"Yes, sometimes",Read reviews for fit feedback,Sometimes,Not sure,Easier comparison between similar items,25-34,"Metro (Delhi, Mumbai, Bangalore, etc.)","Yes, happy to chat",Mrinal .. 
9/1/2026 12:28:19,2-3 times a month,"Yes, regularly",1 to 5,30 to 60%,Changed my mind / lost interest,Rarely,Check the brand's size chart,Sometimes,Probably yes,Better price visibility or alerts,25-34,"Metro (Delhi, Mumbai, Bangalore, etc.)","No, thanks",
9/1/2026 12:33:03,Rarely (once a month or less),"Yes, regularly",More than 30,Less than 10%,Waiting for the price to drop,"Yes, sometimes","Check the brand's size chart, Read reviews for fit feedback",Never bought and returned for this reason,Not sure,Nothing - I like keeping things saved,25-34,"Metro (Delhi, Mumbai, Bangalore, etc.)","Yes, happy to chat",Natasha (you already have my details) ☺️
9/1/2026 12:33:20,2-3 times a month,"Yes, regularly",6 to 15,Less than 10%,Product becomes out of stock,"Yes, often",Check the brand's size chart,Rarely,Probably yes,Reminders/nudges about saved items,25-34,"Metro (Delhi, Mumbai, Bangalore, etc.)","No, thanks",
9/1/2026 13:20:34,Rarely (once a month or less),"Yes, regularly",More than 30,10 to 30%,Waiting for the price to drop,Rarely,Check the brand's size chart,Sometimes,Definitely yes,Nothing - I like keeping things saved,35-44,"Metro (Delhi, Mumbai, Bangalore, etc.)","Yes, happy to chat",
9/1/2026 14:00:19,Rarely (once a month or less),Occasionally,1 to 5,10 to 30%,Forgot about it,"Yes, often",Check the brand's size chart,Rarely,Probably yes,Nothing - I like keeping things saved,25-34,"Metro (Delhi, Mumbai, Bangalore, etc.)","Yes, happy to chat",Timmy🫪
9/1/2026 14:05:25,2-3 times a month,"Yes, regularly",More than 30,10 to 30%,Waiting for the price to drop,Rarely,"Check the brand's size chart, Read reviews for fit feedback",Sometimes,Probably yes,Nothing - I like keeping things saved,25-34,"Metro (Delhi, Mumbai, Bangalore, etc.)","No, thanks",
9/1/2026 14:13:08,Rarely (once a month or less),"Yes, regularly",More than 30,30 to 60%,Not sure I need it right now,Never,Order multiple sizes and return the rest,Rarely,Probably yes,Nothing - I like keeping things saved,25-34,Tier 2 city,"No, thanks",
9/1/2026 15:12:50,Rarely (once a month or less),"Yes, regularly",6 to 15,30 to 60%,Forgot about it,Never,Check the brand's size chart,Sometimes,Definitely yes,Nothing - I like keeping things saved,25-34,Tier 3 city or town,"No, thanks",
9/1/2026 16:45:01,Weekly,"Yes, regularly",6 to 15,30 to 60%,Waiting for the price to drop,Rarely,Check the brand's size chart,Sometimes,Probably yes,Better price visibility or alerts,25-34,Tier 3 city or town,"No, thanks",
9/1/2026 18:37:46,Rarely (once a month or less),Occasionally,1 to 5,10 to 30%,Changed my mind / lost interest,Rarely,"Check the brand's size chart, Read reviews for fit feedback",Sometimes,Probably yes,More confidence about fit/size,25-34,Tier 2 city,"No, thanks",
9/1/2026 23:54:15,2-3 times a month,"Yes, regularly",More than 30,Less than 10%,Changed my mind / lost interest,"Yes, often",Just guess and hope,Sometimes,Definitely yes,More confidence about fit/size,25-34,"Metro (Delhi, Mumbai, Bangalore, etc.)","Yes, happy to chat",
9/2/2026 7:19:56,Rarely (once a month or less),Never,More than 30,Less than 10%,Changed my mind / lost interest,"Yes, often",Don't buy at all,Never bought and returned for this reason,Not sure,Easier comparison between similar items,35-44,Tier 2 city,"Yes, happy to chat",9764606364// Pankaj
9/2/2026 10:00:19,Rarely (once a month or less),Occasionally,1 to 5,Less than 10%,Waiting for the price to drop,"Yes, sometimes","Check the brand's size chart, Read reviews for fit feedback",Sometimes,Not sure,Better price visibility or alerts,25-34,"Metro (Delhi, Mumbai, Bangalore, etc.)","No, thanks",
9/2/2026 13:29:38,Rarely (once a month or less),"Yes, regularly",6 to 15,30 to 60%,Not sure I need it right now,"Yes, sometimes","Check the brand's size chart, Read reviews for fit feedback, Just guess and hope, Don't buy at all",Sometimes,Probably yes,Nothing - I like keeping things saved,25-34,Tier 2 city,"Yes, happy to chat",Vaibhav Diwase - +91-6265404899
9/2/2026 16:51:18,Weekly,Occasionally,More than 30,Less than 10%,Changed my mind / lost interest,Rarely,"Check the brand's size chart, Read reviews for fit feedback",Sometimes,Probably not,Reminders/nudges about saved items,25-34,Tier 2 city,"No, thanks",
